3,845.7715798403,845.3996425531,851.8052008213,843.6226149339,848.8193844526,0.2622239855,0.6408408836,0.7459829825,-4.1157051369,3.5416525382,3.8623244674,1.0238342285,0.7733301123,0.4974994362,1.0273090601,0.2976446847,0.2266455541,-0.1685802638,0.3884269595,1.6831529935,1.1747621695,1.1681865056,1.8632456859,1.4168438117,0.7889284492,0.5647827983,1.5395629406,-0.6086354851,-0.3363986115,-0.6942860484,-0.3621141215
6,846.7995675894,842.9407340808,848.6902426695,845.2550041003,845.1206938915,0.2561035156,0.6435072157,0.7595859104,-4.5579444038,3.1817966037,4.3731011284,1.0238342285,0.7392443021,0.4656230311,1.0273090601,0.2177948753,0.2240001807,-0.1652138134,0.3315243721,1.5502127806,0.8279514909,1.0653729041,1.7293967406,1.2731177012,0.6683624983,0.4760647515,1.395397226,-0.6214686831,-0.331584086,-0.6823268732,-0.4409723878
9,848.5404334435,849.2791372446,853.3136095879,844.903727996,850.2038136018,0.2578599718,0.6086357965,0.7691582574,-6.3179016113,3.4007008871,3.0430603028,1.0238342285,0.600009342,0.4629790286,1.0273090601,0.1451484536,0.2245033731,-0.1944198162,0.2689842582,1.4396424691,0.546547393,0.9693621993,1.6173567772,1.1633424362,0.6219553749,0.4057002068,1.2869590521,-0.678652366,-0.3448191981,-0.7253913482,-0.4991237223
12,846.468960493,847.6054280599,856.8056703225,848.3079787034,847.8533872947,0.2551913792,0.6102939182,0.7748413086,-0.8029259575,4.0623982747,6.2776099311,1.0238342285,0.6029414932,0.4248161018,1.0273090601,0.086294127,0.1986335715,-0.2162334969,0.2235950033,1.3428382476,0.4451930523,0.8765704036,1.5123655399,1.0663306713,0.6191821496,0.3333273232,1.1932199399,-0.6603127321,-0.3657334646,-0.7069080075,-0.5248684287
15,847.0785185985,843.7465929863,848.6592469827,843.9325663249,851.4074401856,0.2564629449,0.6120130751,0.7739189995,-1.5182071262,3.9087083604,5.5274369982,0.7913023631,0.6267587344,0.214824597,0.7670237124,-0.0535800593,0.1848373811,-0.2527374824,0.1043202331,0.9795199235,0.4928223292,0.6024518609,1.1098163923,0.6453646024,0.5563172102,0.2902145088,0.7949060003,-0.6003021201,-0.3638648887,-0.6669465303,-0.5846771002
18,847.4401237292,838.3483612843,852.3786049867,846.8977160331,847.0578558506,0.2579650879,0.6110432943,0.7747158474,-1.1784278022,4.1188897027,5.6154971653,0.3364158769,0.6590647896,0.138309742,0.1219827856,-0.1327608054,0.1675303479,-0.245009169,0.0281334016,0.3610489766,0.5754668713,0.4582333366,0.3411938722,-0.0572485551,0.5507566333,0.2336727132,0.2076922605,-0.6231094798,-0.3569846849,-0.6575015982,-0.6292760571
21,849.1344987918,844.3509920561,857.4875550881,850.059175149,842.2691822541,0.2588161892,0.6122165256,0.7733256022,-1.6656663683,3.7654028999,5.7878790961,0.316303422,0.6605742574,0.2203314354,0.0679825476,-0.1477615486,0.1589302272,-0.1732342839,0.0007922966,0.2369344532,0.5446979999,0.5014226735,0.0613975326,-0.1087253119,0.5861225923,0.1471140683,0.1411353946,-0.5870816906,-0.362610966,-0.6355925401,-0.5880555511
24,816.5642887996,815.0455541366,869.2035326835,823.7808783115,849.1189997747,0.2616068522,0.6115180122,0.7735968696,-1.3479020861,3.9128621419,5.2088419596,0.3167005479,0.6331423322,0.2261377325,-0.0661262932,-0.1189322422,0.1811630527,-0.138948376,-0.011407708,0.2928918898,0.5938021143,0.5503664017,0.1511128147,-0.0295513334,0.5591865579,0.1514519553,0.1408253411,-0.5119701624,-0.3794113596,-0.5989291271,-0.5498321851
27,858.634357159,834.3603828626,855.1629568247,858.567205967,844.2011804825,0.2597769278,0.6123419868,0.7731956199,-1.5795446325,4.0147682472,5.40600812,0.3167005479,0.5895424485,0.2199057688,-0.0117605689,-0.0960392431,0.2242219995,-0.1383049289,-0.0508033782,0.3159341713,0.6474176049,0.5797353784,0.267295455,0.0095250596,0.5183928808,0.1314253161,0.2135672321,-0.4909600814,-0.397295177,-0.6218317747,-0.5745497346
30,866.026580028,855.2094476162,841.9954004532,859.2852470203,847.078519381,0.2611694336,0.6098022461,0.773095025,-1.8750169542,3.8002946642,5.5498674181,0.2560343593,0.5783524116,0.7996610205,0.0358952433,-0.0895908152,0.2433204154,-0.1248397305,-0.067411465,0.35241732,0.9320983092,0.7289437453,0.3559935589,0.0683488163,0.5824093223,0.3902437687,0.2425644,-0.5083616177,-0.4294017156,-0.6310256322,-0.5927832722
33,856.6352053911,856.0617980957,847.8740547376,850.0540075058,850.7462197328,0.264316135,0.6104431152,0.7729831272,-1.3636864556,3.7870025635,5.6217278374,0.065169851,0.376657188,0.9991022348,0.0358952433,-0.1060017298,0.2586794992,-0.0835670432,-0.0865260189,0.3172747493,1.3370229403,1.0486482779,0.4229222338,0.0968257586,0.7017700672,0.7721006672,0.1773278217,-0.4820390642,-0.4265212317,-0.6377380689,-0.5844238599
