3,857.1207854442,864.5233389048,819.7670710637,843.1835264548,837.4701788487,0.4503965025,0.1200109411,0.8917100695,-1.4665617766,4.0596290871,5.3143480089,0.975323081,0.8994886478,0.4537387689,1.0248696804,0.2263772041,1.1455445687,-0.0228909672,0.5173814297,1.5232590437,1.2299578985,0.6589069168,1.6092664003,1.1815367937,0.6773253679,0.352516969,1.1543546915,-0.3737284839,0.7407951156,-0.5714743137,-0.3224122226
6,845.7715767102,863.9757690429,829.0654609876,833.8696320362,832.4490473821,0.4523078071,0.119869656,0.8908521864,-1.4189317492,3.6287434896,5.4339769152,0.9058014552,0.7951886058,0.4507596691,0.899668316,0.3019812058,1.1292243401,-0.0432172753,0.4171811541,1.1507931352,1.2141501506,0.6435239315,1.2420289119,0.8571351568,0.7296556234,0.3386577268,0.9501471122,-0.4515484174,0.7304669619,-0.5568091075,-0.3867358764
9,846.9493744679,786.3909998185,840.2700297038,850.8650340545,835.9927696815,0.4510339808,0.1171784577,0.8907109013,-1.1564127604,4.8225402832,8.0339671948,1.1268861294,0.7620660265,0.5537471473,1.1608196497,0.5637030005,1.132431825,-0.0075116941,0.5106340846,1.2073355913,1.1714881659,0.6765523553,1.2344126701,0.9276118875,0.7182993094,0.3651158611,0.9621516864,-0.4169950187,0.7296869159,-0.5582720836,-0.3605003953
12,859.1354401417,775.4240636581,822.489434658,846.8718895545,836.2097332294,0.4459804959,0.1168687608,0.8958095974,-2.35560947,4.6501583523,4.4881608751,1.1268861294,0.744247973,0.8588643074,1.4391825994,0.5637030005,1.1317639748,-0.0116844492,0.6282335718,1.2073355913,1.1831314564,0.8735559185,1.3630561034,0.9276118875,0.7167704701,0.6217501362,1.167361021,-0.4169950187,0.6713466644,-0.5968229174,-0.3338983953
15,881.9888203939,849.9661857409,815.8617483286,852.6833871695,833.1205968612,0.4447428385,0.1174112956,0.8941345215,-1.2565188938,4.0478600396,2.157474094,1.1268861294,0.7357730667,0.9076286554,1.4737746716,0.5637030005,1.1149467627,-0.0290258645,0.6534749865,1.2073355913,1.1924431721,1.1355016629,1.349649469,0.9276118875,0.7478206158,0.8993653854,1.2389827967,-0.4169950187,0.5601347884,-0.6653449535,-0.3430443207
18,877.5772517278,859.9154702211,712.2621381711,857.9524731758,827.8979985164,0.4365166558,0.1250712077,0.8946533203,-1.8243408203,4.479437934,4.2746565077,1.1268861294,0.7180553277,0.9021858573,1.4737746716,0.599388659,1.0836542845,-0.0264191696,0.6178498268,1.292287151,1.1958671014,1.2299829324,1.3018914064,1.025569578,0.7398474018,0.9916536609,1.1890258789,-0.4040791293,0.4992492894,-0.7142643929,-0.3422931433
21,862.8547981458,877.3602905273,707.7524194962,846.8460630759,843.9583959335,0.449713813,0.1156378852,0.8935546875,-2.6330820719,3.6166975234,4.5695749919,1.1290378968,0.8185661833,0.8893804351,1.4737746716,0.5873829722,1.0900448163,-0.0020944384,0.6107265552,1.4606544574,1.6588205099,1.3085157076,1.2525976102,1.3344058593,1.1344677607,1.0846589803,1.1791890462,-0.3837705254,0.5776647131,-0.7730795344,-0.2955342134
24,846.4482961802,878.4296084673,815.2728427985,832.9243007562,832.3612256173,0.445332845,0.1328837077,0.8947143555,0.0901370578,3.4472232395,6.509390937,0.8917509913,0.851262033,0.8883627057,1.471596837,0.2530615529,1.1023797989,-0.0465087531,0.5530958772,1.2999475797,1.6732766231,1.4066950877,1.1513373454,1.2683573961,1.2376185656,1.1896385749,1.1260936658,-0.4506052236,0.5659301082,-0.8732109467,-0.2973960539
27,867.302525447,881.3172716972,830.6461878068,848.2666485126,830.8063299717,0.4485767506,0.1199544271,0.8911019785,-2.1901505082,3.8198174371,4.9834300853,0.8917509913,0.8655849695,0.8198057612,1.4077773094,0.2300257087,1.1193122864,-0.157474195,0.4459306796,1.2768416405,1.5373380581,1.4574382702,0.9650351802,1.2181923389,1.0986243884,1.2151992321,0.969020923,-0.4739348888,0.6015392939,-1.0375834505,-0.311780115
30,875.2164924817,872.3494873047,1017.3786088993,856.9503158178,833.668168288,0.4492560493,0.1239556207,0.8924187554,-1.7055426704,3.7919871012,5.2271185981,0.8917509913,0.8655849695,0.7217076421,0.7979200483,0.2300257087,1.0914584001,-0.1801451892,0.3242318829,1.2768416405,1.4277972778,1.4247344732,0.7855612835,1.2181923389,1.0381851991,1.1688089371,0.7040137251,-0.4739348888,0.5879865289,-1.106867671,-0.2942805687
33,871.1768571903,883.6625342736,891.1942365597,853.3394391965,831.1627690242,0.4503343371,0.1207512749,0.8917914497,-1.6278669569,4.1334279378,5.1685502794,0.8759089907,0.8655849695,0.7217076421,0.6176823179,0.2292136103,1.0628210703,-0.1801451892,0.3278967639,1.249795874,1.3583331108,1.4247344732,0.7654851278,1.2002078294,0.9808613856,1.1688089371,0.7087148428,-0.4694618682,0.5559370717,-1.106867671,-0.2682582637
