3,862.7514781463,857.0432989658,841.8145939754,857.5702084272,949.4435041379,0.1032782661,-0.4461127387,0.8781094021,0.2741495768,2.653020223,5.297732883,0.4776968757,0.231044899,0.1500434304,0.6262062986,0.2145181944,0.1602668936,-0.2741460204,0.9036014279,1.4286191066,1.1709723671,0.5275475383,1.4236527284,0.3798858921,0.5920729737,0.0413313316,0.5704298814,-0.1467122982,-0.462153395,-0.6918650071,0.5241720478
6,855.2869340945,850.6893960024,846.871887207,848.9536930965,855.6433739295,0.105662028,-0.4378967285,0.8811577691,-0.0431993273,2.6347435845,5.1506890191,0.5994514426,0.0716685591,0.2654589365,0.7120202183,0.1860958735,0.0766355495,-0.2979154189,0.8750513196,1.4089002212,0.5137865444,0.5525888006,1.3871486585,0.5361469786,0.3833118876,0.1612120171,0.6749147375,-0.1784372379,-0.6039917866,-0.6666878065,0.5134195884
9,854.2227845803,846.5361101199,852.3837702825,848.0755145733,819.9065434382,0.1192660862,-0.431483516,0.8851499204,-0.9937229863,2.8224945068,4.8224018238,0.8687219818,0.078931652,0.3176758488,0.9259413481,0.1819021404,0.0203578236,-0.3151264091,0.8885875344,1.412926356,0.5980529587,0.634423852,1.3702526092,0.8245768547,0.3887779017,0.2491918455,0.8198620478,-0.219750613,-0.5799085697,-0.6799996495,0.598039031
12,854.0626455454,811.5741514548,834.2467346192,853.7836976663,839.1387235201,0.1212497287,-0.4298536512,0.8850979275,-1.6951582167,4.9222310384,4.5799594455,0.9742234945,0.0899646605,0.2964087328,1.027227521,0.1931375464,0.0440650036,-0.3249499699,0.9047191342,1.4002891382,0.7282661795,0.6840923826,1.3232465585,0.978377382,0.3897600075,0.2898221413,0.8802930514,-0.2822224001,-0.5810185472,-0.6519294779,0.7043497562
15,814.4049972143,798.3755978315,824.5144160344,817.8350689228,836.0650885166,0.1155632867,-0.4361097548,0.8821546767,-2.9267544217,4.9546305339,5.0921207004,0.9736908475,0.122833319,0.2922457457,1.0264109373,0.2176617036,0.031008437,-0.2881005903,0.8556178014,1.3011964162,0.7138340871,0.6907921831,1.1929487387,0.9825959603,0.3621308406,0.2878283958,0.8642438849,-0.3752743999,-0.6176543236,-0.6357631087,0.7077214122
18,819.4829516289,829.3650794396,833.0999309833,820.9655339168,833.4357080704,0.1146782769,-0.4424845378,0.8793334961,-3.3197021484,5.3114403619,4.445376926,0.9744546612,0.129265286,0.2913327813,1.0231290261,0.2033643126,-0.044653632,-0.245885541,0.8248660366,1.185742259,0.9157730738,0.7806649804,1.0606182019,0.9716365735,0.3319833974,0.2401836862,0.846104761,-0.4494292538,-0.668565174,-0.7208209634,0.6918293039
21,876.6525769356,831.4365531726,827.4795712202,875.7692307693,843.2610113682,0.1151360406,-0.4546780057,0.872595893,-3.5182529026,3.9087083605,4.4561767578,0.9748120308,0.2134174854,0.2838270664,0.9617172678,0.2193907152,-0.109487536,-0.2165430486,0.8254441222,1.1163257758,1.1675513983,0.8830372294,0.9616257946,1.000745058,0.3499318659,0.1550308317,0.8377643824,-0.5097457071,-0.6692420244,-0.7733641068,0.7265273531
24,848.1116747734,854.0058233799,839.6656329815,845.9523800581,847.9205416166,0.1147935655,-0.4627380371,0.8680284288,-2.4170854356,4.6700965034,5.252456665,0.9444876313,0.2365506242,0.2660907656,0.9268324574,0.2340134581,-0.1152479574,-0.1780510942,0.7776749532,0.9097856879,1.315025409,0.8991735578,0.7267712752,0.8351892432,0.4314910372,0.2356215318,0.6660061081,-0.5534703136,-0.6437565287,-0.7001533906,0.6868894498
27,836.7211444561,858.6705181415,846.5412777632,836.7727997609,839.8154422075,0.108859592,-0.4636433919,0.8688354492,-2.4062856039,5.3646087646,5.7916174995,0.4044135312,0.2404507945,0.338751634,0.7037510673,0.2061053266,-0.1317219834,-0.1929583599,0.6621194879,0.3838756978,1.4360396862,0.9045684735,0.370444407,0.187704398,0.5605467856,0.3658741117,0.3316747844,-0.5391884645,-0.6219194134,-0.6537357768,0.4707162082
30,834.8666295761,858.8461538462,857.2189346705,842.8735797589,843.6897716033,0.1016642253,-0.4723951552,0.8650919596,-2.5691138374,4.9546305338,5.3297170003,0.1086585224,0.2537757357,0.3388837278,0.5389390588,0.1297571957,-0.1124353161,-0.2089374363,0.6360125542,0.2584682107,1.5129416784,0.9752803047,0.2067869455,0.0471439622,0.7072842916,0.3981242676,0.3562965095,-0.4953923821,-0.5766019821,-0.6352374355,0.4066340029
